"Cache Management","Gerenciador de Cache"
"Flush Magento Tables","Limpar Tabelas do Magento"
"Truncate magento cache tables.","Esvaziar tabelas de cache do magento."
"Flush Magento Directories","Limpar Diretórios do Magento"
"Empty magento cache directories.","Esvaziar diretório de cache e logs do magento."
"Flush Redis","Limpar Redis"
"Empty data from current database.","Esvaziar dados do socket configurado."
"Flush Memcached","Limpar Memcached"
"Empty cache and sessions.","Esvaziar dados dos sockets configurados."
"Flush CDN","Limpar CDN"
"Empty cached files.","Esvaziar arquivos cacheados."
"%s tables have been truncated.","%s tabelas foram esvaziadas."
"%s directories have been truncated.","%s diretórios foram esvaziados."
"The redis has been truncated.","Redis foi esvaziado."
"The memcached has been truncated.","Memcached foi esvaziado."
"The CDN has been enqueued to be truncated.","O processo de limpeza foi enfileirado na CDN."
"Empty socket path. Please set it in System > Configuration > Kasterweb > Cleaner > Redis -> Socket path","Falta de configuração. Por favor, acesse Sistema > Configuração > Kasterweb > Cleaner > Redis -> Socket path"
"Any socket path was found. Please set it in System > Configuration > Kasterweb > Cleaner > Memcached -> Socket path","Falta de configuração. Por favor, acesse Sistema > Configuração > Kasterweb > Cleaner > Memcached -> Socket path"
"Account ID, Access token or Base URL is missing. Please set it in System > Configuration > Kasterweb > Cleaner > CDN","Falta de configuração. Por favor, acesse Sistema > Configuração > Kasterweb > Cleaner > CDN"
"The CDN has not been enqueued because: %s","O processo de limpeza não foi enfileirado na CDN pelo seguinte motivo: %s"
